Prop;;;;;
#P_id;dens;E;v;A;Iz;
0;7800;200000000000;0.3;0.01;8.333333E-6;
Nodes;;;;;
#N_id;x;y;phi;;
0;10;10;;;
1;20;10;;;
2;30;10;;;
3;10;20;;;
4;20;20;;;
5;30;20;;;
6;10;30;;;
7;20;30;;;
8;30;30;;;
9;40;30;;;
10;50;30;;;
11;50;20;;;
12;40;20;;;
Elements;;;;;
#E_id;from;to;prop;;
0;1;0;0;;
1;1;2;0;;
2;4;3;0;;
3;5;4;0;;
4;6;7;0;;
5;7;8;0;;
6;3;0;0;;
7;5;2;0;;
8;3;6;0;;
9;5;8;0;;
10;7;4;0;;
11;4;1;0;;
12;5;12;0;;
13;11;12;0;;
14;10;11;0;;
15;9;12;0;;
16;8;9;0;;
17;9;10;0;;
In_Conds_U; ;;;;
#I_U_id;N_id;u_x;u_y;u_r;
0;0;1;1;1;
1;1;1;1;1;
2;2;1;1;1;
3;3;0;0;0;
4;4;0;0;0;
5;5;0;0;0;
6;6;0;0;0;
7;7;0;0;0;
8;8;0;0;0;
9;9;0;0;0;
10;10;0;0;0;
11;11;0;0;0;
12;12;0;0;0;
In_Conds_F;;;;;
#I_F_id;N_id;Fx;Fy;M;
0;10;0;-1000;0;
